name,url,address,phone,hours,reviews,websites
Per Se,https://www.google.com/maps/place/Per+Se/data=!4m7!3m6!1s0x89c258f62fec73a7:0x5e24118dffac8a65!8m2!3d40.7682178!4d-73.9828988!16zL20vMGNxdjh5!19sChIJp3PsL_ZYwokRZYqs_40RJF4?authuser=0&hl=de&rclk=1,"10 Columbus Cir, New York, NY 10019, Vereinigte Staaten",+1 212-823-9335,No Hours,4.5,Tisch reservieren
Delmonico's,https://www.google.com/maps/place/Delmonico%27s/data=!4m7!3m6!1s0x89c25a169b252fc3:0xa2bf2e9c831365b5!8m2!3d40.7050268!4d-74.0102557!16s%2Fg%2F1q62fbp4q!19sChIJwy8lmxZawokRtWUTg5wuv6I?authuser=0&hl=de&rclk=1,"56 Beaver St, New York, NY 10004, Vereinigte Staaten",+1 212-381-1237,No Hours,4.5,Tisch reservieren
Birdie's,https://www.google.com/maps/place/Birdie%27s/data=!4m7!3m6!1s0x8644b5080783e9b7:0x3966bdc4f4a3a61a!8m2!3d30.2764082!4d-97.7045648!16s%2Fg%2F11ppqgfvm5!19sChIJt-mDBwi1RIYRGqaj9MS9Zjk?authuser=0&hl=de&rclk=1,"2944 E 12th St Unit A, Austin, TX 78702, Vereinigte Staaten",No Phone,No Hours,4.4,Speisekarte
Christopher’s at Wrigley Mansion,https://www.google.com/maps/place/Christopher%E2%80%99s+at+Wrigley+Mansion/data=!4m7!3m6!1s0x872b0d6c742c3efd:0xe5c5982c4eb43731!8m2!3d33.5228514!4d-112.0267977!16s%2Fg%2F1tw_nqhz!19sChIJ_T4sdGwNK4cRMTe0TiyYxeU?authuser=0&hl=de&rclk=1,"2501 E Telawa Trail, Phoenix, AZ 85016, Vereinigte Staaten",+1 602-522-2344,No Hours,4.6,Tisch reservieren
Providence,https://www.google.com/maps/place/Providence/data=!4m7!3m6!1s0x80c2bed37a6d4069:0x28108f04e0d52aab!8m2!3d34.0836697!4d-118.3300251!16s%2Fm%2F0zc1yky!19sChIJaUBtetO-woARqyrV4ASPECg?authuser=0&hl=de&rclk=1,"5955 Melrose Ave, Los Angeles, CA 90038, Vereinigte Staaten",+1 323-460-4170,No Hours,4.7,Speisekarte
Merois | West Hollywood,https://www.google.com/maps/place/Merois+%7C+West+Hollywood/data=!4m7!3m6!1s0x80c2bf6febbc62eb:0x961417f01f6d8af1!8m2!3d34.0946318!4d-118.3735788!16s%2Fg%2F11r721b7zw!19sChIJ62K862-_woAR8YptH_AXFJY?authuser=0&hl=de&rclk=1,"8430 Sunset Blvd, West Hollywood, CA 90069, Vereinigte Staaten",+1 323-918-3410,No Hours,4.4,Tisch reservieren
Benu,https://www.google.com/maps/place/Benu/data=!4m7!3m6!1s0x8085807daa163a49:0xeabe8c21da872bd4!8m2!3d37.7855007!4d-122.3990397!16s%2Fm%2F0x2t1w6!19sChIJSToWqn2AhYAR1CuH2iGMvuo?authuser=0&hl=de&rclk=1,"22 Hawthorne St, San Francisco, CA 94105, Vereinigte Staaten",+1 415-685-4860,No Hours,4.7,Speisekarte
Nixta Taqueria,https://www.google.com/maps/place/Nixta+Taqueria/data=!4m7!3m6!1s0x8644b5bfa9a39a85:0x89e30b3a9deaaf51!8m2!3d30.2750091!4d-97.7132754!16s%2Fg%2F11h047jyym!19sChIJhZqjqb-1RIYRUa_qnToL44k?authuser=0&hl=de&rclk=1,"2512 E 12th St, Austin, TX 78702, Vereinigte Staaten",No Phone,No Hours,4.4,Tisch reservieren
Black Radish,https://www.google.com/maps/place/Black+Radish/data=!4m7!3m6!1s0x80d955f0e7a3d1b9:0x5db575966b14fca5!8m2!3d32.7482559!4d-117.1359021!16s%2Fg%2F11p12zc8sv!19sChIJudGj5_BV2YARpfwUa5Z1tV0?authuser=0&hl=de&rclk=1,"2591 University Ave, San Diego, CA 92104, Vereinigte Staaten",+1 619-269-1980,No Hours,4.8,Tisch reservieren
KIN,https://www.google.com/maps/place/KIN/data=!4m7!3m6!1s0x54aef8e44d9000df:0x5bb4b0f5f464b3af!8m2!3d43.6163778!4d-116.205451!16s%2Fg%2F11jfdpykkj!19sChIJ3wCQTeT4rlQRr7Nk9PWwtFs?authuser=0&hl=de&rclk=1,"999 W Main St Suite P101, Boise, ID 83702, Vereinigte Staaten",+1 208-342-0600,No Hours,4.6,Speisekarte
Anajak Thai Cuisine,https://www.google.com/maps/place/Anajak+Thai+Cuisine/data=!4m7!3m6!1s0x80c297c5baa1e89f:0x83a04faba786ac13!8m2!3d34.1515121!4d-118.4533788!16s%2Fg%2F1tgtfrvd!19sChIJn-ihusWXwoARE6yGp6tPoIM?authuser=0&hl=de&rclk=1,"14704 Ventura Blvd, Sherman Oaks, CA 91403, Vereinigte Staaten",+1 818-501-4201,No Hours,4.3,Tisch reservieren
Camphor,https://www.google.com/maps/place/Camphor/data=!4m7!3m6!1s0x80c2c76c7e656d35:0xedbfe078ba7b3ac7!8m2!3d34.0466391!4d-118.2342018!16s%2Fg%2F11rm_k34k2!19sChIJNW1lfmzHwoARxzp7unjgv-0?authuser=0&hl=de&rclk=1,"923 E 3rd St #109, Los Angeles, CA 90013, Vereinigte Staaten",+1 213-626-8888,No Hours,4.4,Tisch reservieren
Alinea,https://www.google.com/maps/place/Alinea/data=!4m7!3m6!1s0x880fd322d33a22bb:0xed1db5da10d6043b!8m2!3d41.913435!4d-87.6480552!16s%2Fm%2F0275b31!19sChIJuyI60yLTD4gROwTWENq1He0?authuser=0&hl=de&rclk=1,"1723 N Halsted St, Chicago, IL 60614, Vereinigte Staaten",No Phone,No Hours,4.6,Tisch reservieren
Harbinger,https://www.google.com/maps/place/Harbinger/data=!4m7!3m6!1s0x87ee992857122f7d:0xf645a8cc6fbfb256!8m2!3d41.5855368!4d-93.6543715!16s%2Fg%2F11g69g62bl!19sChIJfS8SVyiZ7ocRVrK_b8yoRfY?authuser=0&hl=de&rclk=1,"2724 Ingersoll Ave, Des Moines, IA 50312, Vereinigte Staaten",+1 515-244-1314,No Hours,4.7,Speisekarte
Glai Baan,https://www.google.com/maps/place/Glai+Baan/data=!4m7!3m6!1s0x872b0d9bc5d08e19:0x12d26cb99edc2f3e!8m2!3d33.4872925!4d-112.0308517!16s%2Fg%2F11fylvfrks!19sChIJGY7QxZsNK4cRPi_cnrls0hI?authuser=0&hl=de&rclk=1,"2333 E Osborn Rd, Phoenix, AZ 85016, Vereinigte Staaten",+1 602-595-5881,No Hours,4.7,Speisekarte
